Verk;Oms;Land;Fecode;RdcX;RdcY;Type;Straal1;Straal2;Straal3;Vanaf;VanafIAM;Positie;Knoop
abr;Brug o/d Arne;;;003390;039137;1;0;0;0;0;0;7;0
ac;Abcoude;NL;047;012731;047623;8;0;2;2;2;2;6;0
adh;Leeuwarden Achter d Hoven;NL;406;018401;057931;6;0;2;2;2;0;7;0
aeg;Erasmusgracht aansl.;;;011767;048827;5;0;0;2;3;3;5;0
ah;Arnhem;NL;071;019031;044412;8;3;3;3;1;1;2;1
ahb;Arnhem Berg;;;018831;044431;4;0;0;0;0;0;0;0
ahbf;Aachen Hbf;D;8015345;021077;031985;9;0;2;2;0;2;8;0
ahbo;Arnhem Berg opstel.;;;018926;044434;2;0;0;0;0;0;2;0
ahbz;Arnhem Burgers' Zoo;;488;019033;044664;2;0;0;0;0;0;2;0
ahg;Arnhem goed.;;;019301;044270;2;0;0;0;0;0;0;0
ahom;Arnhem Openluchtmuseum;;442;019058;044694;2;0;0;0;0;0;2;0
ahp;Arnhem Velperpoort;NL;072;019163;044416;6;0;2;2;2;2;7;0
ahpd;Arnhem Papendal;NL;085;018383;044683;8;0;0;0;0;0;0;0
ahpr;Arnhem Presikhaaf;NL;075;019318;044448;6;0;2;2;2;2;2;0
ahwa;Arnhem West aansl.;;;018792;044417;4;0;0;0;0;0;0;0
ahz;Arnhem Zuid;NL;227;018694;044103;6;0;2;2;2;2;4;0
akl;Arkel;NL;068;012785;043157;6;0;2;2;2;2;1;0
akm;Akkrum;NL;049;018557;056241;8;0;2;2;2;2;3;0
alm;Almere Centrum;NL;080;014349;048748;8;0;2;2;2;2;2;1
almb;Almere Buiten;NL;081;014756;048960;6;0;2;2;2;2;1;0
almbo;Almere Oostvaarders;;;014867;049124;0;0;2;0;0;2;2;0
almm;Almere Muziekwijk;NL;082;014172;048673;6;0;2;2;2;2;4;0
almmo;Almere Muziekwijk overloopw.;;;014102;048615;3;0;0;0;0;0;4;0
almo;Almere Oostvaarders;NL;226;014906;049058;8;0;2;2;2;2;8;0
almp;Almere Parkwijk;NL;104;014537;048771;6;0;2;2;2;2;8;0
alms;Almere Strand;NL;083;013880;048396;7;0;0;0;0;0;0;0
ama;Amersfoort aansl.;;;015559;046455;5;0;0;2;3;3;4;0
amf;Amersfoort;NL;055;015418;046284;11;2;2;2;2;2;5;1
amfga;Amersfoort goed. aansl.;;;015334;046283;5;0;0;0;0;0;3;0
amfpon;Amersfoort racc. Pon;;;015772;045754;2;0;2;2;0;2;8;0
amfs;Amersfoort Schothorst;NL;054;015612;046519;8;0;2;2;2;2;1;0
amfv;Amersfoort Vlasakkers;;;015254;046237;2;0;0;0;0;0;0;0
amfva;Amersfoort Vlasakkers aansl.;;;015292;046262;5;0;0;0;0;0;1;0
aml;Almelo;NL;051;024149;048616;8;0;2;2;2;2;3;1
amlbp;Almelo racc. Bedrijvenpark NW Twente;;;024065;048692;2;0;0;0;0;0;0;0
ampo;Almere Poort;;450;013987;048506;6;0;2;2;2;0;4;0
amr;Alkmaar;NL;050;011123;051693;8;2;2;2;2;2;4;1
amri;Almelo de Riet;NL;520;024224;048457;6;0;2;2;2;2;6;0
amrn;Alkmaar Noord;NL;052;011281;051756;6;0;2;2;2;2;1;0
ana;Anna Paulowna;NL;065;011624;054240;8;0;2;2;2;2;4;0
apd;Apeldoorn;NL;066;019468;046901;8;2;3;3;2;2;2;1
apda;Apeldoorn aansl.;;;019576;046917;4;0;0;2;3;3;1;0
apdm;Apeldoorn De Maten;NL;233;019784;046827;6;0;2;2;2;2;6;0
apdo;Apeldoorn Osseveld;NL;229;019757;046992;6;0;2;2;2;0;2;0
apdvam;Apeldoorn racc. VAM;;;019443;046455;2;0;0;0;0;0;0;0
apg;Appingedam;NL;067;025330;059423;8;0;2;2;2;2;7;0
apn;Alphen a/d Rijn;NL;053;010498;045986;8;0;2;2;2;2;3;1
arn;Arnemuiden;NL;069;003575;039170;6;0;2;2;2;2;2;0
asa;Amsterdam Amstel;NL;057;012300;048435;6;0;2;2;2;2;4;0
asb;Amsterdam Bijlmer ArenA;NL;074;012499;048059;8;0;2;2;2;2;6;0
asd;Amsterdam Centraal;NL;058;012186;048802;11;3;3;3;1;1;3;1
asdar;Amsterdam Stadion;NL;999;012445;048160;6;0;0;2;3;3;5;0
asdl;Amsterdam Lelylaan;NL;079;011729;048570;8;0;2;2;2;2;4;0
asdm;Amsterdam Muiderpoort;NL;060;012393;048602;8;0;2;2;2;2;4;0
asdma;Amsterdam Muiderpoort aansl.;;;012392;048637;5;0;0;2;3;3;4;0
asdmw;Amsterdam Muiderpoort West;;;012412;048625;4;0;0;0;0;0;5;0
asdta;Amsterdam Transformatorweg aansl.;;;011920;048981;5;0;0;2;3;3;3;0
asdz;Amsterdam Zuid;NL;061;011980;048356;8;0;2;2;2;2;6;0
ashd;Amsterdam Holendrecht;NL;231;012577;047919;6;0;2;2;2;0;6;0
asn;Assen;NL;073;023448;055678;8;0;2;2;2;2;4;0
asra;Amsterdam Riekerpolder aansl.;;;011722;048356;5;0;0;2;3;3;1;0
ass;Amsterdam Sloterdijk;NL;059;011751;048918;8;2;2;2;2;2;8;0
assp;Amsterdam Science Park;;235;012526;048504;8;0;2;2;2;0;3;0
aswplm;Amsterdam Lijnwerkplaats Midden;;;011970;049047;2;0;0;0;0;0;0;0
aswpln;Amsterdam Lijnwerkplaats Noord;;;011907;049074;5;0;0;0;0;0;0;0
aswplz;Amsterdam Lijnwerkplaats Zuid;;;012031;049003;2;0;0;0;0;0;0;0
at;Acht;;;015790;038697;2;0;0;2;3;3;4;0
atn;Aalten;NL;045;023697;043769;8;0;2;2;2;2;7;0
atw;Antwerpen-Centraal;B;8821006;009551;037602;8;1;2;2;2;2;4;1
atwd;Antwerpen Dam;B;8821030;009532;037662;0;0;0;0;0;0;5;0
atwg;Antwerpen Groenendaal;;;010630;038145;0;0;2;2;2;0;8;0
atwlb;Antwerpen Luchtbal;;8821063;009521;037677;0;0;0;0;0;0;5;0
atwo;Antwerpen Oost;;;009551;037629;0;0;0;0;0;0;5;0
atwsp;Antwerpen Schijnpoort;B;8824067;009542;037646;0;0;0;0;0;0;5;0
avat;Amersfoort Vathorst;NL;228;015769;046656;8;0;2;2;2;2;1;0
aw;Aachen West;D;8015199;021022;031998;0;0;0;0;0;0;3;0
awhv;Amsterdam Westhaven;;;011788;049097;2;0;0;0;0;0;3;0
awhva;Asd. Westhaven aansl.;;;011831;049062;5;0;0;2;0;3;5;0
awhvw;Amsterdam Westhaven West;;;011686;049167;2;0;0;2;0;3;3;0
awp;Antwerpen;;;009551;037596;0;0;0;0;0;0;6;0
awpd;Antwerpen Dam;;;009523;037661;0;0;0;0;0;0;4;0
awplb;Antwerpen Luchtbal;;;009512;037677;0;0;0;0;0;0;4;0
awpo;Antwerpen Oost;;;009541;037629;0;0;0;0;0;0;4;0
awps;Antwerpen Schijnpoort;;;009532;037646;0;0;0;0;0;0;4;0
axa;Axel aansl.;;;004755;036734;5;0;0;0;0;0;0;0
az;Rotterdam aansl. ZHES;;;009137;043940;5;0;0;0;0;0;0;0
b.gde;Vert. Garde=Dieu;;;017128;029609;0;0;0;0;0;0;0;0
bd;Breda;NL;131;011288;040083;8;2;2;2;2;2;7;1
bda;Breda aansl.;;;011059;040068;5;0;0;2;3;3;8;0
bebe;Beekse Bergen;;562;013600;039247;2;0;0;0;0;0;2;0
bde;Bunde;NL;140;017957;032307;8;0;2;2;2;2;4;0
bdg;Bodegraven;NL;121;011103;045501;8;0;2;2;2;2;3;0
bdl;Budel;;;016774;036205;2;0;0;0;2;0;7;0
bdlg;Budel grens;;;016555;036195;9;0;2;2;0;2;2;0
bdm;Bedum;NL;094;023530;059180;8;0;2;2;2;2;8;0
bdpb;Breda Prinsenbeek;NL;132;010884;040210;6;0;2;2;2;2;3;0
berch;Antwerpen-Berchem;B;8821121;009578;037575;8;0;2;2;2;2;6;0
bet;Best;NL;112;015560;038980;6;0;2;2;2;2;4;0
beth;Best;NL;;015530;038919;0;0;0;0;0;0;0;0
beto;Best overloopw.;;;015345;039340;4;0;0;0;0;0;4;0
bf;Baflo;NL;089;023034;059775;8;0;2;2;2;2;4;0
bgk;Beugen kruispunt;;;019060;041120;4;0;0;2;3;3;4;0
bgn;Bergen op Zoom;NL;108;007914;039016;8;0;2;2;2;2;8;1
bgnphm;Bergen op Zoom racc. Philip Morris;;;007978;039050;5;0;2;2;0;3;1;0
bh;Bad Bentheim;D;8021156;026967;048142;8;0;2;2;2;2;2;1
bha;Beatrixhaven aansl. (Maastricht);;;017832;032027;4;0;0;2;3;3;8;0
bhdv;Boven-Hardinxveld;;236;011905;042710;6;0;2;2;2;0;7;0
bhg;Bentheim grens;;485;026769;048140;9;0;0;0;0;0;7;0
bhv;Bilthoven;NL;114;014237;046019;8;0;2;2;2;2;7;0
bk;Beek-Elsloo;NL;096;018303;032868;8;0;2;2;2;2;4;0
